nombre_cientifico,grupo,dieta
Lynx pardinus,Mamífero,Carnívoro
Aquila adalberti,Ave,Carnívoro
Testudo hermanni,Reptil,Herbívoro
Rana iberica,Anfibio,Insectívoro
Salmo trutta,Pez,Omnívoro
Ciconia nigra,Ave,Carnívoro
Vipera seoanei,Reptil,Carnívoro
Emys orbicularis,Reptil,Omnívoro
